date,meeting,title
基本形,取締役会,直営店出店の件（ブランド名 店舗名）
基本形,取締役会,直営店出店の件（ブランド名 店舗名/出店国）
基本形,経営会議,FCによる出店の件（ブランド名 店舗名）
基本形,経営会議,"出店国FCによる出店の件（ブランド名 店舗名）
"
基本形,取締役会,●●法人による直営店出店の件（ブランド名 店舗名）
基本形,経営会議,"●●法人のFCによる出店の件（ブランド名 店舗名）
"
基本形,経営会議,ブランド名 催事出店の件
基本形,経営会議,海外におけるPOPUP出店の件（ブランド名/出店国）
基本形,経営会議,FCによるブランド名 催事出店の件
基本形,経営会議,出店国FCによるPOPUP出店の件（ブランド名）
基本形,経営会議,●●法人によるPOPUP出店の件（ブランド名）
基本形,経営会議,●●法人のFCによるPOPUP出店の件（ブランド名）
基本形,経営会議,直営店閉店の件（ブランド名 店舗名）
基本形,経営会議,直営店閉店の件（ブランド名 店舗名/出店国）
基本形,経営会議,FCによる店舗閉店の件（ブランド名 店舗名）
基本形,経営会議,出店国FCによる店舗閉店の件（ブランド名 店舗名）
基本形,経営会議,●●法人による直営店閉店の件（ブランド名 店舗名）
基本形,経営会議,●●法人のFCによる店舗閉店の件（ブランド名 店舗名）
基本形,経営会議,ブランド名 店舗名 契約更新の件
基本形,経営会議,ブランド名 「商品名」期間限定販売の件
基本形,経営会議,出店国におけるブランド名 「商品名」期間限定販売の件
基本形,経営会議,FCによるブランド名「商品名」期間限定販売の件
基本形,経営会議,出店国FCによるブランド名「商品名」期間限定販売の件
基本形,経営会議,●●法人によるブランド名 「商品名」期間限定販売の件
基本形,経営会議,●●法人のFCによるブランド名 「商品名」期間限定販売の件
基本形,経営会議,ブランド名 卸販売の件（販売場所名での販売）
基本形,経営会議,出店国におけるブランド名 卸販売の件（販売場所名での販売）
基本形,経営会議,●●法人によるブランド名 卸販売の件（販売場所名での販売）
2024年3月28日,経営会議,PRESS BUTTER SAND卸販売の件（中部国際空港）
2024年3月28日,経営会議,PRESS BUTTER SAND卸販売の件（新横浜グランドキヨスク）
2024年3月28日,経営会議,PRESS BUTTER SAND催事出店の件
2024年3月28日,経営会議,八 by PRESS BUTTER SAND催事出店の件
2024年3月28日,経営会議,韓国FCによるBAKE CHEESE TART「チョコバナナチーズタルト」期間限定販売の件
2024年3月28日,経営会議,韓国FCによるPRESS BUTTER SAND「ヘーゼルナッツショコラ」及び「苺ショコラ」期間限定販売の件
2024年3月28日,経営会議,韓国FCによるRAPL「焼きたてカスタードアップルパイいちじく」期間限定販売の件
2024年3月28日,経営会議,US法人によるRAPL「アップルパイいちじく」期間限定販売の件
2024年3月28日,経営会議,US法人によるBAKE CHEESE TART「はちみつレモンチーズタルト」及び「キャラメルチーズタルト」期間限定販売の件
2024年3月28日,経営会議,US法人によるPRESS BUTTER SAND販売の件
2024年3月28日,経営会議,オンラインチャネルにおける6月発売商品の件
2024年3月8日,経営会議,オンラインチャネルにおける4月販売商品の件
2024年3月8日,経営会議,PRESS BUTTER SAND催事出店の件
2024年3月8日,経営会議,八 by PRESS BUTTER SANDイイトルミネ新宿店OPEN施策商品販売の件
2024年3月8日,経営会議,シンガポールFCによるPRESS BUTTER SAND「バターサンドスリーブ２種セット」販売の件
2024年3月8日,経営会議,韓国FCによる出店の件（PRESS BUTTER SAND新世界百貨店センタムシティ店）
2024年3月8日,経営会議,香港法人によるPRESS BUTTER SAND「バターサンドヘーゼルナッツショコラ」販売の件
2024年3月8日,経営会議,香港法人によるBAKE CHEESE TART「さくらチーズタルト」期間限定販売の件
2024年3月8日,経営会議,PRESS BUTTER SAND卸販売の件
2024年3月8日,経営会議,BAKE CHEESE TART 春プロモーションの件
2024年2月27日,経営会議,BAKE CHEESE TART催事出店の件（グランデュオ立川）
2024年2月27日,経営会議,PRESS BUTTER SAND催事出店の件
2024年2月27日,経営会議,PRESS BUTTER SAND卸販売の件（お中元カタログ掲載）
2024年2月27日,経営会議,プレスバターサンドギャラリーバターサンド「３種詰め合わせ」販売の件
2024年2月27日,経営会議,PRESS BUTTER SAND夏期商材期間限定販売の件
2024年2月27日,経営会議,韓国FCによるPOPUP出店の件（BAKE CHEESE TART現代百貨店狎鴎亭店）
2024年2月9日,経営会議,RINGO焼きたてカスタードアップルパイ「ダブルベリー」期間限定販売の件
2024年2月9日,経営会議,八 by PRESS BUTTER SAND地域限定詰め合わせセット販売の件
2024年2月9日,経営会議,八 by PRESS BUTTER SAND和バターサンド「あんバター」販売の件
2024年2月9日,経営会議,しろいし洋菓子店催事出店の件
2024年2月9日,経営会議,PRESS BUTTER SAND催事出店の件
2024年2月9日,経営会議,PRESS BUTTER SAND催事出店の件（新潟伊勢丹延長）
2024年2月9日,経営会議,PRESS BUTTER SAND催事出店の件（仙台延長）
2024年2月9日,経営会議,PRESS BUTTER SAND卸販売の件（株式会社JR東海リテイリング・プラス）
